code,citation,sort
uther,"Uther, Hans-Jörg. “<b>The Fox in World Literature: Reflections on a ‘Fictional Animal’.</b>” <i>Asian Folklore Studies</i>, vol. 65, no. 2, 2006, pp. 133–160. JSTOR, <a href=""https://www.jstor.org/stable/30030396"" target=""_blank"">www.jstor.org/stable/30030396</a>.",uther
classical-world,"Harden, Alastair. <i><b>Animals in the Classical World: Ethical Perspectives from Greek and Roman Texts</b></i>. United Kingdom, Palgrave Macmillan, 2013.",harden
animals-antiquity,"“Fox.” <i><b>The Culture of Animals in Antiquity</b></i>, by Sian Lewis and Lloyd Llewellyn-Jones, 1st ed., Routledge, 2020, pp. 362–368.",fox the culture
theobaldus,"“Concerning the Fox.” <i><b>Physiologus, a Metrical Bestiary of Twelve Chapters</b></i>, by Theobaldus, 1492, translated by Alan Wood 1928, pp. 72–77. ",concerning the fox
vineyards,"Hagedorn, Anselm C. “<b>Of Foxes and Vineyards: Greek Perspectives on the Song of Songs</b>.” <i>Vetus Testamentum</i>, vol. 53, no. 3, 2003, pp. 337–352. <i> JSTOR</i>, <a href=""https://www.jstor.org/stable/1519341"" target=""_blank"">www.jstor.org/stable/1519341</a>.",hagerdorn
kitchell,"Kitchell Jr., Kenneth. <i><b>Animals in the Ancient World from A to Z</b></i>. United States, Taylor & Francis, 2014.",kitchell
aelian-characteristics,"Aelian. <i><b>On Animals</b></i>. Translated by A. F. Scholfield. Loeb Classical Library 446. Cambridge, MA: Harvard University Press, 1958. <a href=""https://www.loebclassics.com/view/LCL446/1958/volume.xml"" target=""_blank"">www.loebclassics.com/view/LCL446/1958/volume.xml</a>.",aelian
pliny-natural,"Pliny. <i><b>Natural History</b></i>. Translated by W. H. S. Jones. Loeb Classical Library 418. Cambridge, MA: Harvard University Press, 1963. <a href=""https://www.loebclassics.com/view/LCL418/1963/volume.xml"" target=""_blank"">www.loebclassics.com/view/LCL418/1963/volume.xml</a>.",pliny
aristotle-hist,"Aristotle. <i><b>History of Animals</b></i>. Edited and translated by D. M. Balme. Loeb Classical Library 439. Cambridge, MA: Harvard University Press, 1991. <a href=""https://www.loebclassics.com/view/LCL437/1965/volume.xml"" target=""_blank"">www.loebclassics.com/view/LCL437/1965/volume.xml</a>.",aristotle history of
aristotle-gen,"Aristotle. <i><b>Generation of Animals</b></i>. Translated by A. L. Peck. Loeb Classical Library 366. Cambridge, MA: Harvard University Press, 1942. <a href=""https://www.loebclassics.com/view/LCL366/1942/volume.xml"" target=""_blank"">www.loebclassics.com/view/LCL366/1942/volume.xml</a>.",aristotle generation of 
oppian-cyn,"Oppian, Colluthus, Tryphiodorus. <i><b>Oppian, Colluthus, and Tryphiodorus</b></i>. Translated by A. W. Mair. Loeb Classical Library 219. Cambridge, MA: Harvard University Press, 1928. <a href=""https://www.loebclassics.com/view/LCL219/1928/volume.xml"" target=""_blank"">www.loebclassics.com/view/LCL219/1928/volume.xml</a>.",oppian
