id,character,actions,title,link,characters,text,char_length,word_length
1,demades,0,,,,,,
1,athenians,0,demades and the athenians,http://mythfolklore.net/aesopica/oxford/1.htm,"['demades', 'athenians']","The orator Demades was trying to address his Athenian audience. When he failed to get their attention, he asked if he might tell them an Aesop's fable. The audience agreed, so Demades began his story. 'The goddess Demeter, a swallow, and an eel were walking together down the road. When they reached a river, the swallow flew up in the air and the eel jumped into the water.' Demades then fell silent. The audience asked, 'And what about the goddess Demeter?' 'As for Demeter,' Demades replied, 'she is angry at all of you for preferring Aesop's fables to politics!' So it is that foolish people disregard important business in favour of frivolities.",650.0,135.0
2,demosthenes,0,demosthenes and the athenians,http://mythfolklore.net/aesopica/oxford/2.htm,"['demosthenes', 'athenians']","They say that during an assembly in Athens, Demosthenes was prevented from making his speech, so he told the audience he wanted to say just a few words. When the audience had fallen silent, Demosthenes began his tale. 'It was summertime, and a young man had hired a donkey to take him from Athens to Megara. At midday, when the sun was blazing hot, the young man and the donkey's driver both wanted to sit in the donkey's shadow. They began to jostle one another, fighting for the spot in the shade. The driver maintained that the man had rented the donkey but not his shadow, while the young man claimed that he had rented both the donkey and all the rights thereto.' Having told this much of the story, Demosthenes then turned his back on the audience and began to walk away. The Athenians shouted at him to stop and begged him to finish the story. 'Indeed!' said Demosthenes. 'You want to hear all about the donkey's shadow, but you refuse to pay attention when someone talks to you about serious matters!' ",1010.0,210.0
2,athenians,0,"the wolf, the dog and the collar",http://mythfolklore.net/aesopica/oxford/3.htm,"['wolf', 'dog', 'collar']","A comfortably plump dog happened to run into a wolf. The wolf asked the dog where he had been finding enough food to get so big and fat. 'It is a man,' said the dog, 'who gives me all this food to eat.' The wolf then asked him, 'And what about that bare spot there on your neck?' The dog replied, 'My skin has been rubbed bare by the iron collar which my master forged and placed upon my neck.' The wolf then jeered at the dog and said, 'Keep your luxury to yourself then! I don't want anything to do with it, if my neck will have to chafe against a chain of iron!' ",566.0,134.0
3,wolf,0,"the onager, the donkey and the driver",http://mythfolklore.net/aesopica/oxford/4.htm,"['onager', 'donkey', 'driver']","An onager saw a donkey standing in the sunshine. The onager approached the donkey and congratulated him on his good physical condition and excellent diet. Later on, the onager saw that same donkey bearing a load on his back and being harried by a driver who was beating the donkey from behind with a club. The onager then declared, 'Well, I am certainly not going to admire your good fortune any longer, seeing as you pay such a high price for your prosperity!' ",462.0,92.0
3,dog,0,"the donkey, the onager and the lion",http://mythfolklore.net/aesopica/oxford/5.htm,"['donkey', 'onager', 'lion']","An onager saw a donkey labouring under a heavy load and he made fun of the donkey's enslavement. 'Lucky me!' said the onager. 'I am free from bondage and do not have to work for anyone else, since I have grass near at hand on the hillsides, while you rely on someone else to feed you, forever oppressed by slavery and its blows!' At that very moment a lion happened to appear on the scene. He did not come near the donkey since the donkey's driver was standing beside him. The onager, however, was all alone, so the lion attacked and devoured him. The story shows that people who are obstinate and insubordinate come to a bad end because they get carried away by their own sense of stubbornness and refuse to ask others for assistance.",735.0,155.0
3,collar,0,"the donkey, the priests and the tambourines",http://mythfolklore.net/aesopica/oxford/6.htm,"['donkey', 'priests', 'tambourines']","It is not enough that a man who is born under an unlucky star leads an unhappy life: the bitter affliction of his fate pursues him even after he is dead. The Galli, those priests of the goddess Cybebe, used a donkey to carry their luggage when they went around begging for alms. When their donkey finally died, overcome by work and the whip, they stripped his hide and made themselves some tambourines. When someone asked them what they had done with their darling donkey, the priests replied, 'He thought that once he died he would get some rest, but he keeps on getting beaten just the same!' ",595.0,121.0
4,onager,0,aesop and the runaway slave,http://mythfolklore.net/aesopica/oxford/7.htm,"['aesop', 'runaway', 'slave']","A slave who was running away from his cruel master happened to meet Aesop, who knew him as a neighbour. 'What's got you so excited?' asked Aesop. 'Father Aesop -- a name you well deserve since you are like a father to me -- I'm going to be perfectly frank, since you can be safely trusted with my troubles. There's plenty of whipping and not enough food. I'm constantly sent on errands out to the farm without any provisions for the journey. If the master dines at home, I have to wait on him all night long; if he is invited somewhere else, I have to lie outside in the gutter until dawn. I should have earned my freedom by now, but my hairs have gone gray and I'm still slaving away. If I had done anything to deserve this, I would stop complaining and suffer my fate in silence. But the fact is that I never get enough to eat and my cruel master is always after me. For these reasons, along with others that it would take too long to tell you, I've decided to go wherever my feet will lead me.' 'Well,' said Aesop, 'listen to what I say: if you must endure such hardship without having done anything wrong, as you say, then what is going to happen to you now that you really are guilty of something?' With these words of advice, Aesop scared the slave into giving up his plans of escape. ",1291.0,286.0
4,donkey,0,the jackdaw and the string,http://mythfolklore.net/aesopica/oxford/8.htm,"['jackdaw', 'string']","A man caught a jackdaw and tied the bird's foot with a piece of string so that he could give the bird to his children as a present. The jackdaw, however, could not stand to live in human society, so when they let him loose for just a moment, he ran away. But when he got back to his nest, the string became entangled in the branches, so that the jackdaw was unable to fly. As he was dying, the bird said to himself, 'How stupid of me! Since I could not stand being a slave in human society, I have brought about my own death.' This story is appropriate for people who want to rescue themselves from some moderate difficulties and, without realizing it, find themselves in even more serious trouble.",698.0,151.0
4,driver,0,"the butcher, the shepherd and the lamb",http://mythfolklore.net/aesopica/oxford/9.htm,"['butcher', 'shepherd', 'lamb']","A shepherd and a butcher were walking along the road together. They saw a plump little lamb who had wandered away from the flock and had been left behind by his fellow sheep. The shepherd and the butcher both rushed to grab the lamb. This was back in the days when animals spoke the same language as people, so the lamb asked the two men why they wanted to grab him and carry him off. After the lamb found out what they both did, he turned and offered himself to the shepherd. 'You are nothing but an executioner of sheep,' he said to the butcher, 'and your hands are stained with the blood of the flock! This man, on the other hand, rejoices if we thrive and prosper.' ",670.0,143.0
