character,occurrence
lion,51
fox,49
man,47
wolf,42
dog,40
donkey,34
farmer,22
eagle,19
snake,16
sheep,15
zeus,14
hermes,14
shepherd,13
mouse,13
monkey,12
horse,12
birds,11
cat,11
crow,11
aesop,10
hare,10
raven,10
dogs,9
tree,9
catcher,9
bull,9
mother,9
frogs,8
camel,8
bird,8
rooster,8
jackdaw,7
weasel,7
deer,7
goat,7
boy,7
woman,7
butcher,6
kite,6
jupiter,6
wolves,6
sow,6
fish,6
swallow,6
river,6
fisherman,6
bald,6
lamb,5
king,5
trees,5
partridge,5
stork,5
bear,5
ox,5
ant,5
frog,5
goats,5
pig,5
prometheus,5
peacock,4
stag,4
viper,4
boar,4
mice,4
men,4
lark,4
cricket,4
well,4
flea,4
daughter,4
gods,4
jar,4
bramble,4
bush,4
boastful,4
hunter,4
tortoise,4
sea,4
hen,4
widow,4
driver,3
slave,3
bulls,3
hares,3
doves,3
ram,3
cub,3
crane,3
foxes,3
dolphin,3
hunting,3
mule,3
people,3
bees,3
travellers,3
friends,3
monkeys,3
things,3
barley,3
dung,3
soldier,3
beetle,3
hawk,3
nightingale,3
roosters,3
crab,3
thief,3
apollo,3
aphrodite,3
fly,3
lamp,3
wild,3
gnat,3
skin,3
ravens,3
mole,3
reflection,3
swan,3
bat,3
athena,3
war,3
sick,3
goatherd,3
treasure,3
wife,3
heracles,3
doctor,3
athenians,2
onager,2
runaway,2
she-goat,2
dinner,2
lions,2
elected,2
elephant,2
animals,2
oak,2
ax,2
cranes,2
swans,2
goose,2
spring,2
pigeon,2
gardener,2
vine,2
nut,2
diogenes,2
feathers,2
socrates,2
owl,2
cliff,2
three,2
true,2
beetles,2
wasps,2
partridges,2
ants,2
bullock,2
sparrow,2
who,2
merchant,2
tuna,2
wasp,2
simonides,2
murderer,2
sun,2
winter,2
disputing,2
ancestors,2
lioness,2
pot,2
athlete,2
bell,2
coward,2
beauty,2
contest,2
grapes,2
horseman,2
frankincense,2
traveller,2
labour,2
nurse,2
farmers,2
tears,2
kid,2
file,2
air,2
among,2
cattle,2
honey,2
tail,2
lizard,2
pyrrhic,2
dance,2
weasels,2
eunuch,2
blacksmiths,2
master,2
gold,2
city,2
mill,2
fishermen,2
donkeys,2
eggs,2
statue,2
son,2
bride,2
goddess,2
fortune,2
oracle,2
other,2
sons,2
children,2
mirror,2
good,2
dreams,2
truth,2
rich,2
tanner,2
daughters,2
patient,2
demades,1
demosthenes,1
collar,1
priests,1
tambourines,1
string,1
masters,1
pack,1
saddles,1
battle,1
fawn,1
cow,1
dividing,1
spoils,1
breath,1
ailing,1
footprints,1
serving,1
justice,1
elect,1
monk,1
abbots,1
hedgehog,1
ticks,1
injured,1
cubs,1
blind,1
pine,1
wedges,1
arrow,1
decoys,1
geese,1
partners,1
pots,1
water-snake,1
flock,1
commander,1
stomach,1
body,1
house,1
watch,1
panther,1
cloak,1
beekeeper,1
plane,1
mare,1
foal,1
ferryman,1
gift,1
soldiers,1
robber,1
night-owl,1
invitation,1
ground-bird,1
crocodiles,1
sheepfold,1
horns,1
cicada,1
unicorn,1
puppies,1
sleeping,1
oath,1
abbot,1
trumpet,1
thieves,1
pigs,1
honeybees,1
cried,1
salt,1
hooligan,1
enemies,1
greed,1
jealousy,1
manger,1
twin,1
mulberry,1
nile,1
oaths,1
punishment,1
bitten,1
witnesses,1
drones,1
goes,1
court,1
north,1
wind,1
athenian,1
theban,1
crocodile,1
salt-water,1
fresh-water,1
leopard,1
seasons,1
dove,1
litters,1
butterfly,1
fir,1
reed,1
olive,1
fig,1
rose,1
amaranth,1
clay,1
rain,1
cowhide,1
calf,1
dolphins,1
whales,1
cage,1
wagon,1
sailors,1
stones,1
pursuit,1
wren,1
priest,1
mane,1
archer,1
musician,1
home,1
prostitute,1
rivers,1
meat,1
moon,1
shadow,1
summer,1
insect,1
stake,1
wall,1
carried,1
god,1
piece,1
driftwood,1
mountain,1
figs,1
owner,1
songbird,1
drowning,1
pipe,1
snails,1
crested,1
chickens,1
cuckoo,1
scorpion,1
new,1
lame,1
astronomer,1
thracian,1
witch,1
trial,1
soothsayer,1
theft,1
soothsayers,1
clothing,1
peacocks,1
dry,1
land,1
seagull,1
fishing,1
net,1
pet,1
roof,1
chariot-driver,1
eyes,1
earthworm,1
flute,1
plow,1
harvesters,1
beak,1
magpie,1
black,1
ostrich,1
between,1
beasts,1
hyena,1
hyenas,1
fortune-teller,1
satyr,1
guest,1
manure,1
cook,1
demetrius,1
menander,1
groom,1
cowherd,1
shepherds,1
ugly,1
mistress,1
hired,1
mourners,1
tails,1
letter,1
pearl,1
lyre,1
dragon,1
country,1
circus,1
street,1
mules,1
shipwreck,1
hercules,1
plutus,1
race,1
miller,1
stone,1
ship,1
storm,1
myrtle,1
berries,1
flies,1
snare,1
oyster,1
shellfish,1
painting,1
maids,1
golden,1
frozen,1
hides,1
oxen,1
tusks,1
crabs,1
beaver,1
testicles,1
water,1
halcyon,1
hunters,1
eye,1
mercury,1
women,1
without,1
fruit,1
cyclops,1
father,1
child,1
grooms,1
hero,1
mattock,1
axes,1
tiresias,1
shipwrecked,1
slave-woman,1
poor,1
death,1
cats,1
road,1
counting,1
waves,1
crest,1
booby,1
vegetables,1
weeds,1
orpheus,1
delphians,1
kites,1
juno,1
bee,1
bacchus,1
momus,1
cobblers,1
dose,1
intelligence,1
arabs,1
earth,1
shards,1
sacks,1
shame,1
false,1
wilderness,1
pleasure,1
pain,1
roads,1
opportunity,1
bow,1
tripe,1
boys,1
charcoal,1
burner,1
fuller,1
octopus,1
mask,1
thorn,1
thorns,1
snail,1
writer,1
shipbuilders,1
drunken,1
husband,1
miracle,1
arab,1
statues,1
sculptor,1
dream,1
reeds,1
guts,1
ill-tempered,1
bitch,1
wine,1
venus,1
outside,1
foolish,1
lover,1
plowman,1
comb,1
mistresses,1
symptoms,1
funeral,1
dead,1
