Author,Title,Contents,Language,LoC Class,Subject,Category,EBook-No.,Release Date,Copyright Status,Downloads,Price,Illustrator,Compiler,Editor,Translator,Imprint,Note,LoC No.,Alternate Title,Commentator,"Author of introduction, etc.",Series Title,Contributor,Composer,Collaborator,Adapter,Performer,Uniform Title,Creator
"Grimm, Wilhelm, 1786-1859",Grimms' Fairy Tales,"The golden bird -- Hans in luck -- Jorinda and Jorindel -- The travelling musicians -- Old Sultan -- The straw, the coal, and the bean -- Briar Rose -- The dog and the sparrow -- The twelve dancing princesses -- The fisherman and his wife -- The willow-wren and the bear -- The frog-prince -- Cat and mouse in partnership -- The goose-girl -- The adventures of Chanticleer and Partlet -- Rapunzel -- Fundevogel -- The valiant little tailor -- Hansel and Gretel -- The mouse, the bird, and the sausage -- Mother Holle -- Little Red-Cap [Little Red Riding Hood] -- The robber bridegroom -- Tom Thumb -- Rumpelstiltskin -- Clever Gretel -- The old man and his grandson -- The little peasant -- Frederick and Catherine -- Sweetheart Roland -- Snowdrop -- The pink -- Clever Elsie -- The miser in the bush -- Ashputtel -- The white snake -- The wolf and the seven little kids -- The queen bee -- The elves and the shoemaker -- The juniper-tree -- The turnip -- Clever Hans -- The three languages -- The fox and the cat -- The four clever brothers -- Lily and the lion -- The fox and the horse -- The blue light -- The raven -- The golden goose -- The water of life -- The twelve huntsmen -- The king of the golden mountain -- Doctor Knowall -- The seven ravens -- The wedding of Mrs Fox -- The salad -- The story of the youth who went forth to learn what fear was -- King grisly-beard -- Iron Hans -- Cat-skin -- Snow-white and Rose-red.",English,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures",Fairy tales -- Germany,Text,2591,"Apr 1, 2001",Public domain in the USA.,10647 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fox-Davies, Arthur Charles, 1871-1928",A Complete Guide to Heraldry,,English,CR: History: Heraldry,Heraldry -- Great Britain,Text,41617,"Dec 13, 2012",Public domain in the USA.,2318 downloads in the last 30 days.,$0.00,"Johnston, Graham, 1869-",,,,,,,,,,,,,,,,,
"Burgess, Thornton W. (Thornton Waldo), 1874-1965",Old Granny Fox,,English,PS: Language and Literatures: American and Canadian literature,Foxes -- Juvenile fiction,Text,4980,"Jan 1, 2004",Public domain in the USA.,1415 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Foxe, John, 1516-1587","Fox's Book of MartyrsOr A History of the Lives, Sufferings, and TriumphantDeaths of the Primitive Protestant Martyrs",,English,"BR: Philosophy, Psychology, Religion: Christianity",Martyrs,Text,22400,"Aug 25, 2007",Public domain in the USA.,1354 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Jonson, Ben, 1573?-1637","Volpone; Or, The Fox",,English,PR: Language and Literatures: English literature,Extortion -- Drama,Text,4039,"May 1, 2003",Public domain in the USA.,1170 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Holden, Fox B., 1923-",The Time Armada,,English,PS: Language and Literatures: American and Canadian literature,Families -- Fiction,Text,65072,"Apr 13, 2021",Public domain in the USA.,1144 downloads in the last 30 days.,$0.00,"Terry, W. E., 1921-1992",,,,,,,,,,,,,,,,,
"Holden, Fox B., 1923-",The Builders,,English,PS: Language and Literatures: American and Canadian literature,Post-apocalyptic fiction,Text,65100,"Apr 18, 2021",Public domain in the USA.,895 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Talbot, William Henry Fox, 1800-1877",The Pencil of Nature,,English,TR: Technology: Photography,Photography -- Early works to 1850,Text,33447,"Aug 16, 2010",Public domain in the USA.,599 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Potter, Beatrix, 1866-1943",The Tale of Jemima Puddle-Duck,,English,PZ: Language and Literatures: Juvenile belles lettres,Ducks -- Juvenile fiction,Text,14814,"Jan 27, 2005",Public domain in the USA.,549 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Aesop, 620? BCE-564? BCE",Aesop's Fables,"The cock and the pearl -- The wolf and the lamb -- The dog and the shadow -- The lion's share -- The wolf and the crane -- The man and the serpent -- The town mouse and the country mouse -- The fox and the crow -- The sick lion -- The ass and the lapdog -- The lion and the mouse -- The swallow and the other birds -- The frogs desiring a king -- The mountains in labour -- The hares and the frogs -- The wolf and the kid -- The woodman and the serpent -- The bald man and the fly -- The fox and the stork -- The fox and the mask -- The jay and the peacock -- The frog and the ox -- Androcles -- The bat, the birds, and the beasts -- The hart and the hunter -- The serpent and the file -- The man and the wood -- The dog and the wolf -- The belly and the members -- The hart in the ox-stall -- The fox and the grapes -- The horse, hunter, and stag -- The peacock and Juno -- The fox and the lion -- The lion and the statue -- The ant and the grasshopper -- The tree and the reed -- The fox and the cat -- The wolf in sheep's clothing -- The dog in the manger -- The man and the wooden god -- The fisher -- The shepherd's boy -- The young thief and his mother -- The man and his two wives -- The nurse and the wolf -- The tortoise and the birds -- The two crabs -- The ass in the lion's skin -- The two fellows and the bear -- The two pots -- The four oxen and the lion -- The fisher and the little fish -- Avaricious and envious -- The crow and the pitcher -- The man and the satyr -- The goose with the golden eggs -- The labourer and the nightingale -- The fox, the cock, and the dog -- The wind and the sun -- Hercules and the waggoner -- The man, the boy, and the donkey -- The miser and his gold -- The fox and the mosquitoes -- The fox without a tail -- The one-eyed doe -- Belling the cat -- The hare and the tortoise -- The old man and death -- The hare with many friends -- The lion in love -- The bundle of sticks -- The lion, the fox, and the beasts -- The ass's brains -- The eagle and the arrow -- The milkmaid and her pail -- The cat-maiden -- The horse and the ass -- The trumpeter taken prisoner -- The buffoon and the countryman -- The old woman and the wine-jar -- The fox and the goat.",English,PZ: Language and Literatures: Juvenile belles lettres,Aesop's fables -- Translations into English,Text,28,"Mar 1, 1992",Public domain in the USA.,479 downloads in the last 30 days.,$0.00,,,,,"Houston: Advantage International, The PaperLess Readers Club, 1992","Planned as PG's second Aesop extext. See also comprehensive versions PG#21 tr. by George Fyler Townsend, PG#11339 tr. by V. S. Vernon Jones, and illustrated PG#18732.",,,,,,,,,,,,
