Author,Illustrator,Title,Language,LoC Class,Subject,Category,EBook-No.,Release Date,Copyright Status,Downloads,Price,Editor,LoC No.,Imprint,Summary,Contributor,Engraver,Translator,Alternate Title,Contents,Note,Commentator,Annotator,"Author of introduction, etc.",Edition,Creator,Series Title,Uniform Title
"Aesop, 620? BCE-564? BCE","Winter, Milo, 1888-1956",The Aesop for ChildrenWith pictures by Milo Winter,English,PZ: Language and Literatures: Juvenile belles lettres,Aesop's fables -- Adaptations,Text,19994,"Dec 2, 2006",Public domain in the USA.,1324 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Potter, Beatrix, 1866-1943",,The Tale of Johnny Town-Mouse,English,PZ: Language and Literatures: Juvenile belles lettres,Fables,Text,15284,"Mar 8, 2005",Public domain in the USA.,315 downloads in the last 30 days.,$0.00,,66004164,"Frederick Warne & Co., Inc.New York1918","After visiting each other’s homes, Johnny Town-Mouse and Timmy Willy who lives in the country, decide that they prefer their own place.",,,,,,,,,,,,,
"Crane, Walter, 1845-1915",,The Baby's Own Aesop,English,PZ: Language and Literatures: Juvenile belles lettres,"Fables, Greek -- Adaptations",Text,25433,"May 11, 2008",Public domain in the USA.,173 downloads in the last 30 days.,$0.00,,,,,"Linton, W. J. (William James), 1812-1897","Evans, Edmund, 1826-1905",,,,,,,,,,,
"Carryl, Guy Wetmore, 1873-1904",,Fables for the Frivolous,English,PS: Language and Literatures: American and Canadian literature,Humorous poetry,Sound,20026,"Nov 6, 2006",Public domain in the USA.,171 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Moore, Edward, 1712-1757","Brooke, Henry, 1703?-1783",Moores Fables for the Female Sex,English,PR: Language and Literatures: English literature,English poetry -- 18th century,Text,39499,"Apr 22, 2012",Public domain in the USA.,168 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Chamisso, Adelbert von, 1781-1838",,Peter Schlemihls wundersame Geschichte,German,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures",Fables,Text,31538,"Mar 7, 2010",Public domain in the USA.,163 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Chamisso, Adelbert von, 1781-1838","Cruikshank, George, 1792-1878",Peter Schlemihl,English,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures",Fables,Text,21943,"Jun 26, 2007",Public domain in the USA.,162 downloads in the last 30 days.,$0.00,,06023329,,,,,"Bowring, John, 1792-1872",,,,,,,,,,
"Park, Marmaduke",,"Aesop, in Rhyme: Old Friends in a New Dress",English,PA: Language and Literatures: Classical Languages and Literature,Fables,Text,21189,"Apr 19, 2007",Public domain in the USA.,133 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Aesop, 620? BCE-564? BCE",,"Æsop's Fables, Embellished with One Hundred and Eleven Emblematical Devices.",English,PZ: Language and Literatures: Juvenile belles lettres,Fables,Text,39187,"Mar 18, 2012",Public domain in the USA.,109 downloads in the last 30 days.,$0.00,,,,,,,"Croxall, Samuel, -1752","Aesop's Fables, Embellished with One Hundred and Eleven Emblematical Devices",,,,,,,,,
"La Fontaine, Jean de, 1621-1695","Rae, John, 1882-1963",Fables in Rhyme for Little FolksFrom the French of La Fontaine,English,PZ: Language and Literatures: Juvenile belles lettres,Fables,Text,24108,"Jan 1, 2008",Public domain in the USA.,99 downloads in the last 30 days.,$0.00,,,,,,,"Larned, W. T. (William Trowbridge)",,,,,,,,,,
