animal,description
Bird,"<p>Ancient texts describe the fox interacting with a number of different birds, such as the raven, eagle, bustard, crow, falcon, chicken, merlin, and aesalon. </p>
			<h5>Friends - Raven</h5>
      <p class=""quote-bubble"">""Of the <b>Raven</b> you might say that it has a spirit no less daring than the eagle, for it even attacks animals, and not the smallest either, but asses and bulls. It settles on their neck and pecks them, and in many cases it actually gouges out their eyes. And it fights with that vigorous bird the <b>merlin</b>, and whenever it sees it fighting with a fox, it <b>comes to the fox’s rescue</b>, for it is on <b>friendly terms</b> with the animal.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/aelian-characteristics_animals/1958/pb_LCL446.151.xml"" data-tooltip=""Aelian, <i>On Animals</i>"" data-source=""aelian-characteristics"" target=""_blank""></a></sup></p>
      <p class=""quote-bubble"">""And <b>merlin</b> is at war with fox: it strikes and tears at it and kills the young, for it is crook-taloned. But <b>raven and fox are friends</b> to each other, for the raven is at war with the merlin, hence it <b>comes to the fox’s aid</b> when it is being struck.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/aristotle-history_animals/1965/pb_LCL439.229.xml"" data-tooltip=""Aristotle, <i>History of Animals</i>"" data-source=""aristotle-hist"" target=""_blank""></a></sup></p>
			<p class=""quote-bubble"">""There is a small bird called the <b>aesalon</b> that breaks a <b>raven’s eggs</b>, whose chicks are <b>preyed upon by foxes</b>, and it retaliates by <b>pecking the fox-cubs</b> and the vixen herself; when the ravens see this they come to their <b>aid against the aesalon</b> as against a <b>common foe</b>.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/pliny_elder-natural_history/1938/pb_LCL353.423.xml"" data-tooltip=""Pliny the Elder, <i>Natural History</i>"" data-source=""pliny-natural"" target=""_blank""></a></sup></p>
			<h5>Enemies - Heron, Crow, Falcon, Kirkos, Merlin, Aesalon</h5>
      <p class=""quote-bubble"">""There are three kinds of <b>herons</b>, the grey, the white, and the so-called starry. Of these the grey has difficulty in being covered and in covering; for it screams and, so they say, drips blood from its eyes while covering, and it gives birth badly and painfully. It is <b>at war</b> with those that injure it, with eagle (which seizes it) and <b>fox</b> (which <b>destroys it by night</b>) and lark (which steals its eggs).""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/aristotle-history_animals/1965/pb_LCL439.229.xml"" data-tooltip=""Aristotle, <i>History of Animals</i>"" data-source=""aristotle-hist"" target=""_blank""></a></sup></p>
			<p class=""quote-bubble"">""On the other hand friendships occur between peacocks and pigeons, turtle-doves and parrots, blackbirds and turtle-doves, the <b>crow</b> and the <b>little heron</b> in a <b>joint enmity against the fox</b> kind and the goshawk and kite against the buzzard.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/pliny_elder-natural_history/1938/pb_LCL353.425.xml"" data-tooltip=""Pliny the Elder, <i>Natural History</i>"" data-source=""pliny-natural"" target=""_blank""></a></sup></p>
			<p class=""quote-bubble"">""Now the full-grown <b>Falcon</b> will <b>fight</b> both with a <b>fox</b> and with an eagle; with a vulture it frequently fights. But a Falcon will <b>never eat the heart</b>, thereby presumably fulfilling some mystic rite.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/aelian-characteristics_animals/1958/pb_LCL446.141.xml"" data-tooltip=""Aelian, <i>On Animals</i>"" data-source=""aelian-characteristics"" target=""_blank""></a></sup></p>
      <p class=""quote-bubble"">""The <b>Fox detests a Falcon</b> and the Bull a Raven, and the Buff-backed Heron the Horse.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/aelian-characteristics_animals/1958/pb_LCL446.347.xml"" data-tooltip=""Aelian, <i>On Animals</i>"" data-source=""aelian-characteristics"" target=""_blank""></a></sup></p>
			<p class=""quote-bubble"">""And <b>fox</b> again and <b>kirkos</b> are <b>at war</b> for the same cause, for the kirkos being crook-taloned and carnivorous <b>attacks it</b> and <b>produces sores</b> by striking it.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/aristotle-history_animals/1965/pb_LCL439.227.xml"" data-tooltip=""Aristotle, <i>History of Animals</i>"" data-source=""aristotle-hist"" target=""_blank""></a></sup></p>
			<h5>Prey - Bustard</h5>
      <p class=""quote-bubble"">""And this is the way that <b>Foxes</b> hunt <b>Bustards</b> in Pontus. They reverse themselves and <b>put their head down upon the ground</b> and stick their tail up, <b>like a bird’s neck</b>. And the bustards are taken in and approach, supposing it to be some bird of their own kind; then when they come close up, they are <b>easily caught by the Fox</b>, which turns upon them and attacks them violently.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/aelian-characteristics_animals/1958/pb_LCL448.41.xml"" data-tooltip=""Aelian, <i>On Animals</i>"" data-source=""aelian-characteristics"" target=""_blank""></a></sup></p>
			<p class=""quote-bubble"">""And when chilly winter comes and she lacks food, and the vines show bare of <b>grapes</b>, then she weaves a <b>deadly device for hunting</b>, to capture by craft <b>birds</b> and the young of <b>Hares</b>.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/oppian-cynegetica_chase/1928/pb_LCL219.151.xml"" data-tooltip=""Oppian, <i>Cynegetica</i>"" data-source=""oppian-cyn"" target=""_blank""></a></sup></p><p class=""quote-bubble"">
				""Full of all <b>cunning</b>, the Fox is rightly called the <b>deceitful</b>,<br>
				Countrymen drive him away, since he comes <b>stealing their fowls</b>,<br>
				Thus wanting victims like these, being hungry he finds him a new way,<br>
				By which he hopes to <b>ensnare some singing birds</b> for his prey,<br>
				Supine, and crossing his legs, himself in a furrow he stretches,<br>
				<b>Lying as if he were dead</b>, scarce even drawing a breath,<br>
				<b>Crows</b> or some other birds now thinking a corpse they will find him,<br>
				Light on him hoping him food, if not to peck him to death,<br>
				Quickly the Fox rises up, and <b>suddenly seizes one</b> flying,<br>
				Which to a sad death he gives, tearing it up with his teeth.""<sup><a class=""citation sources-citation"" data-tooltip=""Theobaldus, <i>Physiologus</i>, pg. 73"" data-source=""theobaldus"" target=""_blank""></a></sup>
			</p>
			<p class=""quote-bubble"">""He says therefore in the first part, that the Fox is a <b>deceitful</b> beast, which the countryman hates because he <b>steals his fowls</b>, and if food is scarce ('Thus wanting victims like these'), he naturally finds a <b>scheme</b> or <b>trick</b>, by which scheme it may be possible for him to <b>catch birds</b>.<br>Therefore he goes to a place <b>where birds are wont</b> to collect on account of carcasses, and stretches himself out <b>lying on his back</b>, as if not drawing his breath. A <b>crow</b> or probably a <b>raven</b> seeing him do this, <b>believes that he is dead</b>, and approaching him endeavours to eat the Fox. The Fox at once perceiving the approach of the crow quickly rises and catches him.""<sup><a class=""citation sources-citation"" data-tooltip=""Theobaldus, <i>Physiologus</i>, pg. 73"" data-source=""theobaldus"" target=""_blank""></a></sup></p>
			<p class=""quote-bubble"">""Note that here are other characteristics of the Fox. The first is that the Fox is the greatest <b>enemy to cocks and hens</b>. For he is accustomed when he is near them, on hearing them cackling, to <b>catch them by the neck</b>.""<sup><a class=""citation sources-citation"" data-tooltip=""Theobaldus, <i>Physiologus</i>, pg. 73"" data-source=""theobaldus"" target=""_blank""></a></sup></p>"
Wolf,"<p>The fox and the wolf are commonly described as enemies and appear together frequently in fable. One notable example of the fox interacting with the wolf appears in the Reynard Cycle, where Reynard make enemies with Isingrim the Wolf.</p>
			<p class=""quote-bubble"">""The <b>wolf</b> is <b>at war</b> with ass, bull and <b>fox</b>, for being carnivorous it <b>attacks</b> the cattle and asses and the fox.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/aristotle-history_animals/1965/pb_LCL439.225.xml"" data-tooltip=""Aristotle, <i>History of Animals</i>"" data-source=""aristotle-hist"" target=""_blank""></a></sup></p>"
Bear,"<p>The fox is frequently seen tricking the easily duped bear in fable. In one story, the fox tricks the <b>bear</b> into fishing by sticking his <b>tail</b> in a <b>hole in the ice</b>. The bear's tail inevitably <b>freezes</b> and he becomes stuck, and can only free himself through <b>self mutilation</b>.<sup><a class=""citation sources-citation"" data-tooltip=""Uther, 'The Fox in World Literature', pg. 142"" data-source=""uther""></a></sup> In the Reynard version of this story, the <b>bear's wife</b> is the one who is tricked, and <b>Reynard</b> then proceeds to <b>force himself on her</b> while she's stuck, thus adding an additional layer of <b>selfishness</b> and <b>depravity</b> to his deceptive actions.<sup><a class=""citation sources-citation"" data-tooltip=""<i>Reynard the Fox</i>"" data-source=""reynard""></a></sup> In another story, the fox tells the bear he'll give him a beauty treatment and convinces him to climb into a hayloft, upon which the fox sets the building on fire and singes the bear's fur.<sup><a class=""citation sources-citation"" data-tooltip=""Uther, 'The Fox in World Literature', pg. 142"" data-source=""uther""></a></sup></p>"
Hare,"<p>Foxes are hares primarily have a predator-prey relationship, as the fox hunts the hare for food. Since the hare is swift-footed and faster than the fox, the fox catches it by chasing it continuously during the night and tiring it out until it gives up.</p>
			<p class=""quote-bubble""><b>Hares</b> are <b>caught by Foxes</b> more often than not through an artifice, for the Fox is a <b>master of trickery</b> and knows many a ruse. For instance, when <b>by night</b> it comes upon the track of a Hare and has scented the animal, it steals upon it softly and with <b>noiseless tread</b>, and holds its breath, and finding it in its form, attempts to seize it, supposing it to be free of fear and anxiety. But the Hare is not a luxurious creature and <b>does not sleep carefree</b>, but directly it is aware of the Fox’s approach it <b>leaps from its bed</b> and is off. And it speeds on its way with all haste: but the Fox <b>follows in its track</b> and continues its pursuit. And the Hare after covering a great distance, <b>under the impression that it has won</b> and is not likely to be caught, plunges into a thicket and is glad to rest. But the Fox is after it and will not allow it to remain still, but <b>once again rouses it</b> and stimulates it to run again. Then a second course no shorter than the first is gone through, and the Hare again <b>longs to rest</b>, but the Fox is upon it and by shaking the thicket contrives to keep it from sleeping. And again it darts out, but the Fox is hard after it. But when it is driven into running course after course without intermission, and <b>want of sleep ensues</b>, the <b>Hare gives up</b> and the Fox overtakes it and seizes it, having caught it not indeed by speed but <b>by length of time and by craft</b>.<sup><a class=""citation"" href=""https://www.loebclassics.com/view/aelian-characteristics_animals/1958/pb_LCL449.95.xml"" data-tooltip=""Aelian, <i>On Animals</i>"" data-source=""aelian-characteristics"" target=""_blank""></a></sup></p>
			<p class=""quote-bubble"">""And when chilly winter comes and she lacks food, and the vines show bare of <b>grapes</b>, then she weaves a <b>deadly device for hunting</b>, to capture by craft <b>birds</b> and the young of <b>Hares</b>.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/oppian-cynegetica_chase/1928/pb_LCL219.151.xml"" data-tooltip=""Oppian, <i>Cynegetica</i>"" data-source=""oppian-cyn"" target=""_blank""></a></sup></p>"
Hedgehog,"<p>Foxes are noted to catch the prickly hedgehod using a number of clever tricks.</p>
			<p class=""quote-bubble"">""The <b>Fox</b> is a <b>rascally creature</b>, hence poets are fond of calling it ‘<b>crafty</b>.’ The <b>Hedgehog</b> also is a <b>rascal</b>, for directly it sees the Fox approaching it <b>rolls itself into a ball</b> and lies still. And the Fox, unable to open his jaws and bite it, <b>makes water into its mouth</b>. And the Hedgehog is <b>suffocated</b> because its breathing is stopped through its being rolled up and because of the aforesaid stream. Moreover the Fox having thus tricked the Hedgehog, <b>one scoundrel tricking another</b>, catches it out.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/aelian-characteristics_animals/1958/pb_LCL448.89.xml"" data-tooltip=""Aelian, <i>On Animals</i>"" data-source=""aelian-characteristics"" target=""_blank""></a></sup></p>
			<p class=""quote-bubble"">The <b>Fox</b> is a <b>crafty creature</b>. For instance, it plots against Hedgehogs in the following way. It cannot overcome them by a direct attack, the reason being that their <b>prickles</b> prevent it; and so, gingerly and taking great care of its mouth, it <b>turns them over</b> and lays them on their back and after <b>ripping them open</b>, easily devours those whom till then it dreaded.<sup><a class=""citation"" href=""https://www.loebclassics.com/view/aelian-characteristics_animals/1958/pb_LCL448.41.xml"" data-tooltip=""Aelian, <i>On Animals</i>"" data-source=""aelian-characteristics"" target=""_blank""></a></sup></p>"
Snake,"<p>Foxes and snakes are said to be friends since they both live underground.</p>
			<p class=""quote-bubble"">""And piphex and harpe and kite are <b>friends</b>, and <b>fox</b> and <b>snake</b> (for both live <b>underground</b>), and blackbird and turtle-dove.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/aristotle-history_animals/1965/pb_LCL439.231.xml"" data-tooltip=""Aristotle, <i>History of Animals</i>"" data-source=""aristotle-hist"" target=""_blank""></a></sup></p><p class=""quote-bubble"">""As has been written of <b>enemies</b> such as <b>foxes</b> and <b>serpents</b>, thus it seems to me necessary to do the same for men: in accordance with the ancestral customs, to <b>kill the enemy</b> in every form in so far as the law does not forbid.""<sup><a class=""citation sources-citation"" data-tooltip=""Democritus, <i>Fragments 235–237</i> - <i>Animals in the Classical World</i>, pg. 47"" data-source=""classical-world"" target=""_blank""></a></sup></p>"
Fish,"<p>Foxes hunt fish for food and are described to catch them in a clever way, using their tail as a way to trap them.</p>
			<p class=""quote-bubble"">""Their manner of catching very <b>small fishes</b> is <b>extremely dexterous</b>. They move along the bank of a stream and <b>trail their tails in the water</b>. And the fish swim up and are immeshed and <b>entangled in the thick hairs</b>. When the Foxes notice this, they withdraw from the water and go to dry ground where they shake their tails thoroughly: the little fishes tumble out, and the Foxes make a <b>delicious meal</b>.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/aelian-characteristics_animals/1958/pb_LCL448.41.xml"" data-tooltip=""Aelian, <i>On Animals</i>"" data-source=""aelian-characteristics"" target=""_blank""></a></sup></p>"
Wasp,"<p>Foxes are observed to have a clever way of stealing honey from wasps. They use their tail to trap the wasps and kill them, and once they've killed all the wasps they reach into the comb to lick up all the honey.</p>
			<p class=""quote-bubble"">""<b>Foxes</b> pass all bounds in their <b>mischievousness and trickery</b>. When they observe a thriving <b>Wasps’ nest</b> they <b>turn their back</b> upon it and avoid the hole so as to protect themselves from being stung. But their <b>tail</b>, which is very bushy and long, they let down into the hole and <b>shake up the Wasps</b>. And these fasten on the thick hairs. But when they are <b>entangled</b> in them the Foxes <b>beat their tail against a tree</b> or fence or stone wall, and the Wasps are <b>killed by the blows</b>. Then the Foxes return to the same spot, collect the remaining Wasps, and kill them as they did the first lot. When they know that they will have peace and be <b>free from stings</b> they put down their heads and <b>eat up the combs</b>, with nothing to disturb them and no need to look out for stings.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/aelian-characteristics_animals/1958/pb_LCL446.257.xml"" data-tooltip=""Aelian, <i>On Animals</i>"" data-source=""aelian-characteristics"" target=""_blank""></a></sup></p>"
Hound,"<p>Dogs and hounds are typically used to hunt foxes.</p>
			<p class=""quote-bubble"">""Furthermore, most <b>cunning</b> among all the beasts of the field is the <b>Fox</b>. <b>Warlike of heart</b> and <b>wise</b> she dwells in <b>remotest lair</b>, with seven-gated openings to her house and tunnelled earths far from one another, lest hunters set an ambush about her doors and lead her captive with snares. <b>Terrible is she to fight</b> with her teeth against stronger wild beasts and <b>hunting Dogs</b>. And when chilly winter comes and she lacks food, and the vines show bare of <b>grapes</b>, then she weaves a deadly device for hunting, to capture by craft <b>birds</b> and the young of <b>Hares</b>.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/oppian-cynegetica_chase/1928/pb_LCL219.151.xml"" data-tooltip=""Oppian, <i>Cynegetica</i>"" data-source=""oppian-cyn"" target=""_blank""></a></sup></p>
			<p class=""quote-bubble"">""The Fox is <b>not to be captured by ambush</b> nor by noose nor by net. For she is <b>clever in her cunning</b> at perceiving them; clever too at severing a rope and loosing knots and by subtle craft escaping from death. But the thronging <b>hounds</b> take her; yet even they for all their strength <b>do not overcome her without bloodshed</b>.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/oppian-cynegetica_chase/1928/pb_LCL219.151.xml"" data-tooltip=""Oppian, <i>Cynegetica</i>"" data-source=""oppian-cyn"" target=""_blank""></a></sup></p>
			<p class=""quote-bubble"">""The Hare dreads <b>Hounds</b>, and so too does the <b>Fox</b>.""<sup><a class=""citation"" href=""https://www.loebclassics.com/view/aelian-characteristics_animals/1958/pb_LCL446.317.xml"" data-tooltip=""Aelian, <i>On Animals</i>"" data-source=""aelian-characteristics"" target=""_blank""></a></sup></p><p class=""quote-bubble"">""Also another of his habits is that when he is unable to fly from or avoid a <b>dog</b>, then he <b>falls down</b> in front of him, and tries to <b>play with him</b> as if he were a dog, and if the dog does not wish to play but wishes to catch or bite him, then the Fox <b>covers his neck with his tail</b>, and when the dog thinks to catch him by the throat, he <b>catches him by the tail</b> instead, holding <b>nothing but the hair</b> of the tail, and thus the Fox runs off and <b>escapes</b>.""<sup><a class=""citation sources-citation"" data-tooltip=""Theobaldus, <i>Physiologus</i>, pg. 73-74"" data-source=""theobaldus"" target=""_blank""></a></sup></p>"
Lion,"<p>The fox and the lion form one of the <b>most frequent pairings</b> in <b>Aesopian fable</b>, although natural philosophers do not observe many <b>real interactions</b> between the two animals due to their <b>dissimilar habitats</b>. The fox is usually depicted as the <b>opposite</b> of the lion, with the lion representing <b>courage</b> and <b>nobleness</b> while the fox represents <b>sly, underhanded tricks</b> and, to an extent, <b>cowardice</b> in its <b>indirect dealings</b> with other animals.</p>"
