word,count
fox,6973
red,960
was,703
granny,697
foxes,628
had,392
old,380
is,362
not,126
great,125
are,114
little,110
has,99
were,97
did,82
and,78
so,77
gray,74
said,74
young,72
came,70
very,69
would,63
could,60
knew,59
went,57
will,57
felt,47
never,43
saw,42
looked,40
sagte,39
margaret,36
got,36
took,35
have,33
can,33
more,33
told,32
ran,32
away,31
frank,31
as,30
other,30
made,29
dead,28
there,28
poor,28
lay,25
began,25
wise,25
just,25
turned,24
jencken,23
found,22
may,22
go,22
might,22
first,21
should,21
back,21
black,20
started,20
sprang,20
und,20
white,20
thought,19
only,18
didn't,18
heard,18
wild,18
wicked,18
goes,17
crept,17
fresh,17
too,16
asked,16
fuzzy,16
well,16
hunted,16
fell,16
then,15
led,15
stood,15
female,14
lost,14
reached,14
still,14
always,14
now,14
rose,13
replied,13
comes,13
also,13
much,13
does,13
must,13
suddenly,13
smart,13
stopped,13
answered,13
continued,13
good,13
left,13
became,13
being,13
really,13
slipped,12
bad,12
showed,12
most,12
many,12
killed,12
wily,12
do,12
silver,12
kept,12
gave,12
moved,11
grew,11
here,10
by,10
greatly,10
maggie,10
lower,10
grey,10
few,10
jumped,10
waited,10
met,10
jumps,10
believed,10
coming,10
hungry,10
already,10
lie,10
say,9
decided,9
caught,9
followed,9
makes,9
finally,9
sat,9
slept,9
cried,9
often,9
appeared,9
laughed,9
large,9
drew,9
lying,9
called,9
almost,9
straight,8
put,8
leaped,8
isn't,8
right,8
passed,8
down,8
tells,8
long,8
crawled,8
angry,8
warned,8
frightened,8
seemed,8
softly,8
spoke,8
come,8
sitting,8
declared,8
afraid,8
nosed,7
lives,7
home,7
drove,7
tired,7
watched,7
wanted,7
strong,7
same,7
arctic,7
clever,7
big,7
wasn't,7
far,7
held,7
hardly,7
broke,7
dropped,7
cunning,7
fragte,7
stayed,7
quite,7
be,7
once,7
skins,7
tried,6
soon,6
upper,6
haired,6
brown,6
again,6
climbed,6
second,6
sometimes,6
assured,6
get,6
raced,6
sly,6
emily,6
ever,6
relies,6
swerved,6
discovered,6
realized,6
hurried,6
finds,6
shall,6
returned,6
sent,6
walked,6
hunting,6
small,6
when,6
knows,6
curled,6
crafty,6
seized,6
ordinary,6
usually,5
live,5
brought,5
ate,5
fine,5
stole,5
takes,5
carried,5
remained,5
shook,5
where,5
moving,5
wrote,5
stepped,5
backed,5
near,5
indeed,5
free,5
having,5
instant,5
along,5
on,5
dear,5
take,5
hung,5
glad,5
bred,5
uses,5
going,5
best,5
headstrong,4
wretched,4
generally,4
awakened,4
shrewd,4
arrived,4
slunk,4
am,4
die,4
ferryman,4
likely,4
numerous,4
wondered,4
certainly,4
certain,4
listened,4
spent,4
quickly,4
struck,4
different,4
trotted,4
pet,4
fond,4
frisky,4
swiftest,4
limped,4
scampered,4
struggling,4
know,4
all,4
wears,4
used,4
whispered,4
trapping,4
lightly,4
travel,4
set,4
tell,4
fall,4
nearly,4
comfortable,4
glared,4
paid,4
barks,4
looking,4
brushy,4
common,4
noticed,4
making,4
threw,4
new,4
says,4
dark,4
rather,4
immediately,4
easily,4
carefully,4
proposed,4
wished,4
male,4
cuts,3
lived,3
let,3
rolled,3
spoken,3
calling,3
hated,3
stretched,3
spry,3
yellow,3
safe,3
tied,3
received,3
laugh,3
fast,3
resourceful,3
utterly,3
scarce,3
smiled,3
startled,3
stupidest,3
sore,3
stiff,3
able,3
accepted,3
wept,3
spasmodic,3
schwelgte,3
etwas,3
loves,3
dared,3
waiting,3
run,3
silly,3
younger,3
running,3
thin,3
bolted,3
native,3
in,3
belongs,3
truly,3
played,3
displayed,3
feel,3
sneaked,3
sped,3
tame,3
forward,3
show,3
forth,3
peered,3
prudent,3
barking,3
mere,3
around,3
thus,3
dashed,3
darted,3
shivered,3
strange,3
ill,3
gone,3
past,3
famous,3
learned,3
addressed,3
loved,3
shines,3
terribly,3
crossed,3
retreated,3
hastened,3
slouched,3
dived,3
actually,3
plunged,3
bade,3
several,3
foolish,3
advanced,3
up,3
gets,3
real,3
inside,3
unfortunate,3
heavy,3
such,3
weighed,3
keeps,3
fewer,3
picked,3
watchful,3
joined,3
anxiously,3
shut,3
entered,3
von,3
stands,3
yielded,3
removed,3
read,3
identified,3
necked,3
close,3
sleeps,3
refused,3
plentiful,2
any,2
strutted,2
padded,2
boxed,2
leading,2
fairly,2
happened,2
slowly,2
shrinking,2
writes,2
contrives,2
untied,2
shames,2
hadn't,2
quick,2
lustily,2
stops,2
warily,2
meanwhile,2
ahead,2
approached,2
acted,2
ai,2
perfectly,2
preached,2
beautiful,2
seems,2
done,2
follows,2
understood,2
retraced,2
tangled,2
ain’t,2
setzte,2
stuck,2
pointed,2
cathy,2
digging,2
existed,2
lox,2
stumbled,2
visited,2
confidently,2
occasionally,2
surprised,2
starting,2
greedy,2
eaten,2
enough,2
kind,2
proud,2
own,2
slips,2
bigger,2
resumed,2
heaped,2
deliberately,2
turns,2
individual,2
liked,2
brings,2
discouraged,2
begged,2
believes,2
perceived,2
become,2
weak,2
stirred,2
denied,2
scraped,2
stupid,2
impudent,2
travelled,2
howled,2
leapt,2
out,2
escaped,2
unable,2
auf,2
scored,2
recovered,2
delighted,2
dug,2
rattled,2
hearted,2
gallant,2
northern,2
mangy,2
admits,2
slightly,2
why,2
disappeared,2
created,2
enjoyed,2
licked,2
shot,2
remembered,2
flies,2
successful,2
plays,2
sober,2
learns,2
experienced,2
agreed,2
modern,2
better,2
together,2
cleveland,2
lud,2
thicker,2
full,2
ende,2
cautioned,2
nahm,2
elder,2
laid,2
lodged,2
ago,2
attended,2
hesitated,2
awaited,2
konnte,2
absent,2
polite,2
bit,2
mad,2
changed,2
instantly,2
muttered,2
quietly,2
directly,2
grateful,2
grinned,2
rests,2
headed,2
placed,2
appear,2
lies,2
runs,2
chewed,2
look,2
audacious,2
true,2
alone,2
noted,2
gamely,2
interrupted,2
determined,2
badly,2
bravely,2
opened,2
advises,2
staling,2
weary,2
augenblicken,2
died,2
easier,2
wantonly,2
lame,2
likes,2
thinks,2
minded,2
dangerous,2
shy,2
about,2
splendid,2
judged,2
entgegnete,2
rival,2
screamed,2
evidently,2
meant,2
breaking,2
hastily,2
systematically,2
sure,2
no,2
playing,2
crossing,2
worked,2
transformed,2
bagged,2
rushed,2
discovers,2
shifted,2
terrible,2
brave,2
cursed,2
resigns,2
checked,2
painfully,2
acts,2
stop,2
isn’t,2
watching,2
simply,2
stared,2
homed,2
breathed,2
awoke,2
procured,2
shortly,2
indifferently,2
dragging,2
safely,2
ambitious,2
divided,2
poked,2
irish,2
sycophantic,2
20-inch,1
extraordinary,1
ferried,1
sunday--'twas,1
largest,1
tramped,1
ordered,1
regular,1
memorable,1
mechanical,1
vary,1
declined,1
soundly,1
puckered,1
hears,1
grows,1
exposed,1
hurrying,1
lifted,1
gives,1
luke,1
respectable,1
throws,1
smartest,1
pleasant,1
lose,1
ranches,1
rarely,1
crawling,1
spends,1
sorra,1
standing,1
eat,1
smelt,1
stepping,1
easiest,1
considers,1
seem,1
traveled,1
pulls,1
feels,1
passes,1
frequenting,1
cleared,1
speak,1
survived,1
start,1
compared,1
eventually,1
grown,1
ungava,1
flattered,1
surely,1
pops,1
away—,1
break,1
disappear,1
happily,1
special,1
see,1
switch,1
apparently,1
returns,1
enjoys,1
open,1
shuck,1
literally,1
wiped,1
limp,1
hobbled,1
sighed,1
smoothed,1
fool,1
bound,1
habitually,1
steered,1
flew,1
fooled,1
fed,1
seen,1
violently,1
recurred,1
acquainted,1
ridiculed,1
mentioned,1
represented,1
pushing,1
disunited,1
counselled,1
dodging,1
impatient,1
exclaimed,1
thereupon,1
thrown,1
ends,1
altogether,1
whirled,1
stationed,1
hard,1
disabled,1
warm,1
pleased,1
sideways,1
hardy,1
outlying,1
correct,1
whole,1
dirthy,1
enormous,1
loped,1
separated,1
cramped,1
inari,1
fancy,1
nice,1
abruptly,1
following,1
miserable,1
woke,1
pure,1
apt,1
sable,1
behind,1
ravenous,1
lucky,1
walking,1
clawing,1
irregular,1
dreadful,1
didn’t,1
trying,1
deceptive,1
afoot,1
impossible,1
literary,1
extra,1
indian,1
elects,1
unkennel,1
exactly,1
differs,1
backwards,1
descend,1
chronic,1
curious,1
bounded,1
talliho,1
believe,1
begin,1
squeezes,1
putting,1
sadly,1
danced,1
increased,1
carrying,1
english,1
enter,1
repeatedly,1
move,1
climb,1
stalks,1
devour,1
jumping,1
manage,1
fight,1
auld,1
keen,1
purchased,1
sooner,1
examined,1
trot,1
possess,1
next,1
facing,1
avoided,1
studied,1
available,1
talked,1
crouched,1
knocked,1
doubled,1
di’mond,1
strayed,1
hails,1
aged,1
topped,1
plainly,1
unnerved,1
merely,1
newborn,1
swift,1
chary,1
unseen,1
impervious,1
cast,1
confessing,1
caused,1
scratched,1
pulled,1
inherited,1
fears,1
anxious,1
slim,1
stephen,1
carry,1
interested,1
graceful,1
wonderful,1
valuable,1
vast,1
earthed,1
doing,1
sailed,1
trusted,1
expected,1
clearly,1
crouching,1
anywhere,1
abounded,1
mocked,1
scarcely,1
collected,1
identical,1
realised,1
flat,1
stalwart,1
over,1
worth,1
unearth,1
managed,1
clapped,1
henceforth,1
careful,1
playful,1
prompt,1
noisy,1
nerved,1
grand,1
shade,1
rolling,1
cheap,1
accounted,1
naturally,1
returning,1
present,1
japanese,1
celestial,1
wisest,1
richest,1
unknown,1
whimpered,1
feebly,1
deserted,1
disputing,1
off,1
shooting,1
dodged,1
overturned,1
strained,1
settled,1
reconnoitered,1
blamed,1
circled,1
reminded,1
shrank,1
unexpectedly,1
waded,1
fearlessly,1
resolved,1
bore,1
prayed,1
inquired,1
hurriedly,1
located,1
clambered,1
signaled,1
boldly,1
guessed,1
discharged,1
ceased,1
regained,1
attempted,1
barely,1
sufficiently,1
planned,1
seated,1
prepared,1
broiled,1
redoubled,1
admired,1
noiselessly,1
scoffed,1
crashed,1
cautiously,1
tossed,1
leaned,1
promptly,1
beside,1
blue,1
kins,1
usual,1
length,1
thrilled,1
sagacious,1
“red,1
illustrious,1
thrust,1
uneasily,1
contented,1
snaps,1
circumspectly,1
amused,1
honoured,1
sulked,1
swelled,1
wheeled,1
halted,1
longingly,1
unsuspecting,1
bright,1
smaller,1
particular,1
humble,1
vixen,1
worried,1
prickly,1
raised,1
laughing,1
failed,1
third,1
distinguished,1
opposed,1
united,1
sorrowing,1
persistent,1
ready,1
unwilling,1
tolerant,1
scornful,1
hovered,1
longed,1
astounded,1
misses,1
implored,1
delivered,1
squandered,1
paused,1
recalled,1
stooped,1
rubbed,1
pattered,1
brushing,1
sharp,1
tormenting,1
chased,1
unhappy,1
aware,1
significantly,1
espied,1
plenty,1
wary,1
allied,1
supported,1
drinks,1
contrived,1
active,1
principal,1
descended,1
attacked,1
obtained,1
treat,1
bury,1
entertain,1
fought,1
acquiesced,1
claimed,1
recrossed,1
ceded,1
fellow,1
older,1
invited,1
generous,1
instructs,1
catch,1
excused,1
referred,1
advocated,1
superb,1
doubtless,1
uncanny,1
remains,1
placing,1
bears,1
reaches,1
explaining,1
haunting,1
loudly,1
impounded,1
stay,1
sumwhar,1
less,1
undecided,1
cautious,1
strongly,1
argued,1
entirely,1
sought,1
kissing,1
loses,1
monotonous,1
rich,1
unimportant,1
historic,1
twisted,1
overreached,1
fled,1
tries,1
frightens,1
stuffed,1
stealing,1
meets,1
tumbled,1
dashing,1
puts,1
touched,1
dare,1
chanced,1
lonely,1
digged,1
imprisoned,1
trotting,1
approaching,1
devoured,1
scoured,1
familiar,1
happy,1
pays,1
subject,1
sees,1
stealthily,1
brushed,1
endured,1
yet,1
bristled,1
dwells,1
approach,1
calls,1
elsewhere,1
married,1
knocks,1
george,1
eminently,1
continually,1
reinterpreted,1
rejected,1
written,1
dates,1
describes,1
reaffirms,1
how,1
frequently,1
occurred,1
interpreted,1
harshly,1
offset,1
admitted,1
secured,1
frisked,1
even,1
smacked,1
magnificent,1
ought,1
various,1
immortal,1
innocent,1
fox—,1
fox—here,1
destroyed,1
retrace,1
attain,1
carnivorous,1
crazy,1
sick,1
suspicious,1
prone,1
amateur,1
shyest,1
single,1
hanging,1
watch,1
villainous,1
pesky,1
unscrupulous,1
hateful,1
awkward,1
weird,1
cruel,1
crippled,1
missed,1
taught,1
gazing,1
dumfounded,1
tyrant,1
probably,1
nervous,1
unapproachable,1
chose,1
wore,1
nasty,1
digest,1
tall,1
emerged,1
dressed,1
warrantable,1
attempting,1
wear,1
happens,1
grumbled,1
talking,1
proper,1
beloved,1
surrounded,1
mitten,1
hairless,1
furnished,1
vagrant,1
stray,1
lawful,1
cross,1
taking,1
responsible,1
cleaned,1
sensible,1
mary,1
indignantly,1
downward,1
securely,1
cornered,1
observed,1
covered,1
whipped,1
thoroughly,1
needed,1
liberally,1
unquestionably,1
wrinkled,1
pounced,1
eyed,1
longer,1
mangled,1
holding,1
lapped,1
inveterate,1
maimed,1
sound,1
nippe,1
fehlten,1
umgaben,1
dann,1
worauf,1
wäre,1
bilderpreise,1
übernahm,1
geworden,1
väterlich,1
wo,1
ging,1
regierungsbeamter,1
rollte,1
bemerkte,1
sprach,1
dafür,1
wiegte,1
brief,1
geriet,1
willing,1
bestärkte,1
getting,1
largely,1
benefit,1
torn,1
supplied,1
high,1
communicated,1
chuckled,1
at,1
treacherous,1
kill,1
gently,1
seiner,1
bekannten,1
solchen,1
wird,1
wenn,1
retains,1
