word,count
fox,328
was,192
is,114
very,49
foxes,48
and,41
are,38
so,35
smart,28
were,23
not,19
as,18
dead,17
too,16
more,12
wise,11
angry,10
frightened,9
afraid,9
hungry,8
glad,7
surprised,7
quick,6
sly,6
much,6
near,5
really,5
fond,5
safe,5
just,5
strong,4
when,4
ferryman,4
almost,4
indeed,4
comfortable,4
old,4
tired,4
never,4
enough,4
scarce,4
cunning,4
greatly,3
numerous,3
startled,3
utterly,3
resourceful,3
sore,3
great,3
polite,3
stiff,3
overparticular,3
thin,3
well,3
home,3
smaller,3
brave,3
thick,3
nice,3
swift,3
most,3
sure,3
proverbial,3
spasmodic,3
spry,2
dark,2
common,2
pleased,2
still,2
weak,2
dangerous,2
stupid,2
terribly,2
kind,2
isn't,2
easier,2
able,2
wasn't,2
about,2
wasn’t,2
worth,2
miserable,2
clever,2
quite,2
mad,2
plentiful,2
big,2
headstrong,2
red,2
aware,2
next,2
subject,2
where,2
thicker,2
absent,2
warm,2
full,2
pleasant,2
poor,2
good,2
proud,2
bigger,2
ill,2
busy,2
settin,2
different,2
unable,2
hysterical,1
keen,1
prime,1
no,1
exaggerated,1
averse,1
uncommon,1
active,1
alert,1
third,1
only,1
white,1
dizzy,1
blind,1
feeble,1
fearful,1
troubled,1
arduous,1
weren't,1
now,1
geese,1
present,1
careful,1
identical,1
furious,1
flat,1
ravenous,1
fine,1
apt,1
apparently,1
bent,1
twice,1
slim,1
likely,1
interested,1
exciting,1
brown,1
various,1
cheap,1
far,1
unknown,1
being,1
small,1
abundant,1
mangy,1
second,1
slightly,1
impossible,1
lucky,1
afoot,1
deceptive,1
irregular,1
curious,1
haughty,1
anywhere,1
puzzled,1
solemn,1
jealous,1
dat,1
impatient,1
fairly,1
unhappy,1
ain’t,1
tricky,1
bold,1
fair,1
less,1
undecided,1
delighted,1
cautious,1
sharp,1
astounded,1
impudent,1
extremely,1
voracious,1
responsible,1
also,1
even,1
famed,1
truly,1
similar,1
foxy,1
minded,1
scornful,1
scared,1
tolerant,1
indifferently,1
unwilling,1
ready,1
persistent,1
sorrowing,1
foolish,1
then,1
familiar,1
due,1
impervious,1
tyrant,1
happy,1
shy,1
free,1
worried,1
sound,1
somewhat,1
there,1
plenty,1
mighty,1
famous,1
rather,1
monotonous,1
away—,1
such,1
rich,1
unimportant,1
grateful,1
satisfied,1
here,1
prone,1
suspicious,1
generally,1
instant,1
deep,1
sick,1
crazy,1
carnivorous,1
badly,1
dear,1
excited,1
